ID,Name,Latitude,Longitude
1,Clay at Battery,37.795001,-122.39997
2,Davis at Jackson,37.79728,-122.398436
3,Commercial at Montgomery,37.794231,-122.402923
4,Washington at Kearney,37.795425,-122.404767
5,Post at Kearney,37.788975,-122.403452
6,Embarcadero at Vallejo,37.799953,-122.398525
7,Spear at Folsom,37.790302,-122.390637
8,Harry Bridges Plaza (Ferry Building),37.795392,-122.394203
9,Embarcadero at Folsom,37.791464,-122.391034
10,Powell Street BART,37.783871,-122.408433
11,Embarcadero at Bryant,37.787152,-122.388013
12,Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643
13,Beale at Market,37.792251,-122.397086
14,5th at Howard,37.781752,-122.405127
15,San Francisco City Hall,37.77865,-122.418235
16,Golden Gate at Polk,37.781332,-122.418603
17,Embarcadero at Sansome,37.80477,-122.403234
18,2nd at Townsend,37.780526,-122.390288
19,2nd at Folsom,37.785299,-122.396236
20,Howard at 2nd,37.786978,-122.398108
21,2nd at South Park,37.782259,-122.392738
22,Townsend at 7th,37.771058,-122.402717
23,South Van Ness at Market,37.774814,-122.418954
24,Market at 10th,37.776619,-122.417385
25,Yerba Buena Center of the Arts (3rd @ Howard),37.784878,-122.401014
26,San Francisco Caltrain 2 (330 Townsend),37.7766,-122.39547
27,San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526
28,Powell at Post (Union Square),37.788446,-122.408499
29,Civic Center BART (7th at Market),37.781039,-122.411748
30,Grant Avenue at Columbus Avenue,37.798522,-122.407245
31,Steuart at Market,37.794139,-122.394434
32,Mechanics Plaza (Market at Battery),37.7913,-122.399051
33,Market at 4th,37.786305,-122.404966
34,Market at Sansome,37.789625,-122.400811